序号,单词,音标,释义,单元,
1,fox,[fɔks],n. 狐狸,Unit1,
2,giraffe,[dʒiro:f],n. 长颈鹿,Unit1,
3,eagle,[i:gl],n. 雕；鹰,Unit1,
4,wolf,[wolf],n. 狼,Unit1,
5,penguin,[pengw n],n. 企鹅,Unit1,
6,care,[keə],n.照顾；护理 v. 关心；在乎,Unit1,
7,take care of,,照顾；处理,Unit1,
8,sandwich,[ˈsænw dʒ],n. 三明治,Unit1,
9,snake,[sne k],n. 蛇,Unit1,
10,scary,[ˈskeər],adj. 吓人的；恐怖的,Unit1,
11,neck,[nek],n. 脖子,Unit1,
12,guess,[ges],v. 猜测；估计,Unit1,
13,shark,[ʃi:k],n. 鲨鱼,Unit1,
14,whale,[we l],n. 鲸,Unit1,
15,huge,[hju:dʒ],adj. 大的；极多的,Unit1,
16,Dangerous,[de ndʒərəs],adj. 危险的；有危害的,Unit1,
17,save,[se w],v. 救；储蓄；保存,Unit1,
18,luck,[lʌk],n. 幸运；运气,Unit1,
19,Thai,,adj. 泰国的；泰国人的 n.泰国,Unit1,
20,trunk,[trʌŋk],n. 象鼻,Unit1,
21,pick,[pʌk],v. 捡：摘,Unit1,
22,pick up,[ˈkærɪ],v. 拿走：举起,Unit1,
23,carry,[ˈkærɪ],v. 拿：提,Unit1,
24,playful,[ˈplefol],adj. 爱嬉戏的；爱玩的,Unit1,
25,swimmer,[ˈswmo],n. 游泳者,Unit1,
26,one another,[ˈfɔrst],n. 森林,Unit1,
27,look after,[ˈkʌltʃə],n. 文化；文明,Unit1,
28,culture,[haʊˈevə],adv. 然而；不过,Unit1,
29,however,[ˈdendʒə],n. 危险,Unit1,
30,danger,[ˈfrendl],adj. 友好的,Unit1,
31,in danger,[ˈfrendl],adj. 相当；完全,Unit1,
32,forest,[ˈkwænt],n. 无知,Unit1,
33,cut down,[ˈkɜːd],adj. 暗的；失明的,Unit1,
34,too many,[kəl],adj. 暗的；失明的,Unit1,
35,kill,[bland],adj. 暗的；失明的,Unit1,
36,made of,[ˈhərŋ],n. 听力；听觉,Unit1,
37,ivory,[ˈæn'tɑ:ktkə],n. 南极圈,Unit1,
38,friendly,[ˈæfrkə],n. 非洲,Unit1,
39,quiet,[ˈtaiænd],n. 泰国,Unit1,
1,rule,[ruːl],n. 规则；规章,Unit2,
2,order,[ˈɔːdə],n. 秩序，v. 点菜,Unit2,
3,follow,[ˈfɔləʊ],v. 遵循；跟随,Unit2,
4,be late ( for ),[əˈraɪv],v. 到达,Unit2,
5,arrive,[əˈraɪv],v. 到达,Unit2,
6,on time,[ˈhɔːlwei],n. 走廊,Unit2,
7,hallway,[juːmˌfɔːm],n. 校服；制服,Unit2,
8,uniform,[ˈliːe],n. 乱认，n. 垃圾,Unit2,
9,litter,[pəˈlaɪt],adj. 有礼貌的,Unit2,
10,polite,[triːt],v. 对待；招待；治疗；n. 款待,Unit2,
11,treat,[riːt],v. 对待；招待；治疗；n. 款待,Unit2,
12,respect,[rispekt],n.尊敬,Unit2,
13,if,[f],conj.如果,Unit2,
14,jacket,[dʒækt],n.夹克衫；短上衣,Unit2,
15,have to,,不得不,Unit2,
16,everything,[evrɪθŋ],pron 每件事；一切,Unit2,
17,lend,[lend],v.借给；借出,Unit2,
18,sweet,[swiːt],n.糖果 adj.甜的,Unit2,
19,snack,[snæk],n.点心；小吃,Unit2,
20,of course,,当然,Unit2,
21,mobile,[məʊba1],adj.可移动的,Unit2,
22,mobile phone,,手机,Unit2,
23,turn off,,关掉（水、电或煤气）,Unit2,
24,queue,[kjuː],n.队,Unit2,
25,jump the queue,,插队,Unit2,
26,wait for,,等待,Unit2,
27,just,[dʒst],adv.只好；正好,Unit2,
28,leave,[liːv],v.离开；留下,Unit2,
29,absent,[æbsnt],adj.缺席的；不在的,Unit2,
30,be absent from,,缺席；不在,Unit2,
31,shh,[ʃ],interj. 嘘（用以让别人安静下来）,Unit2,
32,quietly,[ˈkwɑ:əti],adv.轻声地；安静地,Unit2,
33,belt,[belt],n.安全带；腰带；皮带,Unit2,
34,feed,[fiːd],v.喂养；饲养,Unit2,
35,noise,[nɔz],n.声音；噪声,Unit2,
36,unhappy,[ʌnˈhæp],adj.不快乐的,Unit2,
37,Dr,,博士；医生,Unit2,
38,make sb's/the bed,,整理床铺；铺床,Unit2,
39,either,[aðə],adv.也,Unit2,
40,practise,[praekts],v.训练；练习,Unit2,
41,hang,[hæŋ],v.悬挂,Unit2,
42,hang out,,闲逛；常去某处,Unit2,
43,weekday,[ˈwiːkˌde],n.工作日（星期一至星期五的任何一天）,Unit2,
44,awful,[ˈɔːfol],adj.&v.糟糕的；讨厌的,Unit2,
45,become,[blkʌm],v.变成；成为,Unit2,
46,better,[ˈbetə],a dj.较好的 adv.较好地,Unit2,
47,person,[ˈpɜːsn],n.人,Unit2,
48,focus,[ˈfəʊkss],n.集中（注意力，精力等）；聚焦,Unit2,
49,spirit,[ˈsprt],n.精神；情绪,Unit2,
50,think about,,思考；考虑,Unit2,
51,relax,[rlæks],v.放松；休息,Unit2,
52,advice,[edˈvas],n. 建议；意见,Unit2,
53,understand,[ˌnɪdəˈstænd],v.理解；领会,Unit2,
54,untidy,[ʌrˈta d j],adj.不整洁的,Unit2,
1,fit,[f t],adj.健康的；健壮的 v.适合,Unit3,
2,baseball,[ˈbe s bɔ:l],n.棒球（运动）,Unit3,
3,glove,[ɡlʌv],n.（手指分开的）手套,Unit3,
4,mat,[mæt],n.(运动员的）垫子,Unit3,
5,rope,[reʊp],n.绳子；粗绳,Unit3,
6,jump rope,,跳绳用的绳子；跳绳（运动）,Unit3,
7,racket,[ˈræk t],n.（网球、羽毛球等的）球拍,Unit3,
8,hardly,[ˈhɑ:dl i],adv.几乎不；几乎没有,Unit3,
9,ever,[ˈevə],adv.在任何时候；从来；曾经,Unit3,
10,hardly ever,,几乎从不,Unit3,
11,once,[wʌns],adv.一次；曾经,Unit3,
12,twice,[twas],adv.两次；两回,Unit3,
13,mine,[ma n],pron.我的（所有物）,Unit3,
14,hers,[hɜːz],pron.她的（所有物）,Unit3,
15,maybe,[me b j],adv.也许；大概,Unit3,
16,well-used,,adj.使用得当的,Unit3,
17,practice,[ˈprækt s],n.练习；实践,Unit3,
18,perfect,[ˈpɜːf kt],adj.完美的；极好的,Unit3,
19,seldom,[ˈseldəm],adv.很少；不常,Unit3,
20,badminton,[ˈbædm ntən],n.羽毛球；运动,Unit3,
21,double,[ˈdʌbl],n.双打；两倍；adj.成双的；两倍的,Unit3,
22,sometime,[ˈsʌmta m],adv.在某个时候,Unit3,
23,volleyball,[ˈvɒl ipɔ:l],adv.排球（运动）,Unit3,
24,theirs,[ðeəz],pron.他们的，她们的；它们的（所有物）,Unit3,
25,jog,[dʒɔɡ],v.慢跑,Unit3,
26,few,[fj u:],adj.(表示否定的)很少的；几乎没有的,Unit3,
27,a few,,少数；几个,Unit3,
28,excuse,[kˈskju:s],v.原谅；宽恕；,Unit3,
29,excuse me,,劳驾；请原谅,Unit3,
30,over there,,在那边,Unit3,
31,T-shirt,"[ˈti:,ʃi:t]",n.T-恤衫,Unit3,
32,belong,[blɪŋŋ],v.应在（某处）,Unit3,
33,belong to,,属于（某人）,Unit3,
34,at the start,,开始：起初,Unit3,
35,still,[stl],adv.还；任然,Unit3,
36,sleepy,['slip'],adj.困倦的，想睡的,Unit3,
37,instead,['n'sted],adv.反而；代替,Unit3,
38,group,[grup],n.组，群,Unit3,
39,skateboard,['sket bɔ:d],n.滑板,Unit3,
40,encourage,['n'kʌrdʒ],n.鼓励；激励,Unit3,
41,trick,[trk],n.技能；戏法,Unit3,
42,succeed,[sək'si:d],v.成功；达到目标,Unit3,
43,skateboarding,['sket bɔ:dʒ],n.滑板运动,Unit3,
44,sit-up n.,,仰卧起坐,Unit3,
45,work out,,锻炼,Unit3,
46,app,[æp],n.应用程序,Unit3,
47,progress,['proogres],n.进步；进展,Unit3,
48,match,[mætʃ],n.比赛；竞赛,Unit3,
49,team,[ti:m],n.队；组,Unit3,
50,ours,['aʊəz],pron.我们的（所有物）,Unit3,
51,lose,[lu:z],v.输掉；丢失,Unit3,
52,teenager,['time dʒə],n.青少年(13岁至19岁之间),Unit3,
1,watermelon,['wɔ:te melən],n.西瓜,Unit4,
2,cabbage,['kæb dʒ],n.卷心菜,Unit4,
3,mutton,['mʌtn],n.羊肉,Unit4,
4,cookie,['kɔk ],n.曲奇饼,Unit4,
5,onion,['ʌŋən],n.洋葱；葱头,Unit4,
6,dumpling,['dʌmp lʒ],n.饺子,Unit4,
7,coffee,['kɒf ],n.咖啡,Unit4,
8,bean,[bi:n],n.豆,Unit4,
9,chip,[tʃp],n.炸薯条,Unit4,
10,fish and chips,,炸鱼薯条,Unit4,
11,salad,['sælad],n.沙拉；色拉,Unit4,
12,porridge,['por dʒ],n.粥；燕麦片,Unit4,
13,waiter,['we tə],n.（男）服务员,Unit4,
14,What about…? …,…怎么样？,Unit4,,
15,taste,[te st],v.有……味道；尝 n.味道,Unit4,
16,anything,"['en, 0 ʒ]",pron.某事物；任何事物,Unit4,
17,dish,[d ʤ],n.一道菜；盘,Unit4,
18,choice,[tʃəs],n.选择,Unit4,
19,meal,[mi:l],n.一餐所吃的食物；早（午、晚）餐,Unit4,
20,pork,[pɔːk],n. 猪肉,Unit4,
21,strawberry,['strɔːbər],n. 草莓,Unit4,
22,menu,['menjuː],n. 菜单,Unit4,
23,customer,['kʌstəmə],n. 顾客,Unit4,
24,serve,[sʌv],v. 提供；服务,Unit4,
25,waitress,['weɪrəs],n. 女服务员,Unit4,
26,sir,[sʌː],n. 先生,Unit4,
27,go with,,[peə],n. 梨,Unit4
28,pear,[peə],n. 梨,Unit4,
29,too much,,[ˈʃɒə],n. 糖,Unit4
30,sugar,[ˈmˈpruːv],v. 改进；改善,Unit4,
31,improve,[ˈhæbɪ],n. 习惯,Unit4,
32,habit,[ˈseɪt],n. 盐,Unit4,
33,fast food,,[sɔːlt],n. 脂肪 adj. 肥胖的,Unit4
34,salt,[fæt],n. 体重；重量,Unit4,
35,fat,[wɛt],n. 汉堡包,Unit4,
36,put on,,[ˈheɪmˌbʌːɡə],v. 造成；导致,Unit4
37,weight,[ˈhæmˌbʌːɡə],n. 心脏；中心,Unit4,
38,hamburger,[kɔːz],n. 均衡的；平衡的,Unit4,
39,cause,[hoːt],adj. 均衡的；平衡的,Unit4,
40,heart,[ˈbeɪlənsɪ],,Unit4,
41,balanced,[ˈenədʒ],n. 能量；精力,Unit4,
42,too…to…,,[ˈeɪndʒ],,Unit4
43,energy,[ˈeɪndʒ],,Unit4,
44,after all,,[əˈwe],adv. 离开；在别处,Unit4
45,away,[poʊl[pɔː],adj. 不好的；贫穷的,Unit4,
46,poor,[rizʌlt],n. 后果；结果,Unit4,
47,result,[ˈɑːtkl],n. 文章；冠词,Unit4,
48,article,[əˈmʌŋ],prep. 在……中；……之……,Unit4,
49,among,[sɒft],adj. 柔和的；柔软的,Unit4,
50,soft,[sɒft],,Unit4,
51,soft drink,,[ˈθʌstɪ],adj. 渴的,Unit4
52,thirsty,[ˈθʌstɪ],,Unit4,
53,Gongbao chicken,,[əˈmerkə],n. 美国；美洲,Unit4
54,America,[əˈmerkə],,Unit4,
55,Dingpo pork,,[əˈmerkə],,Unit4
1,ride,[raɪl],v.骑 n.旅程,Unit5,
2,moment,[ˈməʊment],n.某个时刻；片刻；瞬间,Unit5,
3,at the moment,,现在；此刻,Unit5,
4,work on,,做；从事,Unit5,
5,dragon,[ˈdræɡənn],.n. 龙,Unit5,
6,festival,[ˈfestʌl],n.节目,Unit5,
7,hold,[həʊld],v.拿着；抓住,Unit5,
8,hold on,,别挂断电话；等一等,Unit5,
9,voice,[vɔs],n. 嗓音；声音,Unit5,
10,race,[re s],n.比赛；竞赛,Unit5,
11,darling,[ˈdɑ:l u],n. 亲爱的,Unit5,
12,somebody,[ˈsʌnbəd j],pron. 某人；有人,Unit5,
13,could,[kʊd][kəd],v. 能；可以,Unit5,
14,message,[ˈmes dʒ],n.消息；信息,Unit5,
15,take a message,,指个口信,Unit5,
16,leave a message,,留个口信,Unit5,
17,call back,,回电话,Unit5,
18,kick,[k k],v. 踢；蹦,Unit5,
19,wow,[waʊ],interj. 哇；呀,Unit5,
20,online,[ənˈla n],adj. 在线的,Unit5,
21,shuttlecock,[ˈʃklkɜk],n. 羽毛球,Unit5,
22,sight,[sa t],n. 名胜；风景；视力,Unit5,
23,exam,[gˈzæm],n. 考试,Unit5,
24,hope,[həʊp],n.希望,Unit5,
25,forward,[ˈfɔːwəd],adv. 向前,Unit5,
26,look forward to,,希望,Unit5,
27,skate,[sk e t],v. 滑冰,Unit5,
28,happen,[ˈhæpən],v. 发生,Unit5,
29,zone,[zəʊn],n. 地区；地带；区域,Unit5,
30,time zone,,时区,Unit5,
31,around the world,,世界各地,Unit5,
32,right now,,现在；立刻,Unit5,
33,rush,[rʌl],n. 冲；奔,Unit5,
34,in a hurry,,匆忙,Unit5,
35,shine,[ˌfi n],v. 发光；照溢；n.光亮,Unit5,
36,brightly,[ˈbra t l j],adv. 明亮地,Unit5,
37,colourful,[ˈkʌləfəl],adj. 色彩鲜艳的,Unit5,
38,slowly,[ˈsləʊl j],adv. 缓慢地,Unit5,
39,such,[sʌl],adj. 这样人；那样的 pron.这样（那样）的人或事物,Unit5,
40,such as,,例如,Unit5,
41,painting,[ˈpe nt u],n. 绘画作品；绘画；油画,Unit5,
42,market,[ˈmɑ:k t],n.市场,Unit5,
43,side,[sa d],n.边；侧,Unit5,
44,side by side,,并排；并肩地,Unit5,
45,subway,[səbˌwe],n. 地铁,Unit5,
46,bright,[braɪ],adj. 鲜艳的；明亮的；聪明的,Unit5,
47,drop,[drɒp],v. 把……送至；落下；下降,Unit5,
48,passenger,[ˈpæsˌndʒə],n. 乘客,Unit5,
49,central,[sentraɪ],adj. 中心的；中央的；,Unit5,
50,take part in,,参加,Unit5,
51,tour,[toə],n. 旅行；旅游,Unit5,
52,sunshine,[sənˌfān],n. 阳光,Unit5,
53,drive,[draʊ],v. 开车；驾驶,Unit5,
54,rush hour,,"(上下班时间的)交通高峰期,Unit5
55,Adam,,亚当,Unit5
56,Dragon Boat,,端午节,Unit5
1,rain or shine,,不论是雨或是晴；不管发生什么事,Unit6
2,affect,[əˈfɛkt]""",n. 影响,Unit6
3,dry,[draɪ],adj. 干的；干旱的,Unit6,
4,lightning,[ˈlatinŋ],n. 闪电,Unit6,
5,stormy,[ˈstɔːmɪ],adj. 有暴风雨；（或暴风雪）的,Unit6,
6,north,[nɔːθ],n. 北部；北；北方,Unit6,
7,west,[west],n. 西部；西；西方,Unit6,
8,south,[saoθ],n. 南部；南；南方,Unit6,
9,east,[iːst],n. 东部；东；东方,Unit6,
10,center,[sentə],n. 中间；中心点,Unit6,
11,stay in,,呆在家里；没有外出,Unit6,
12,lucky,[ˈlʌkɪ],adj. 运气好的；带来好运,Unit6,
13,lucky you,,你真幸运,Unit6,
14,some day,,将来；有朝一日,Unit6,
15,temperature,[ˈtemprətʃi],n. 温度,Unit6,
16,snowman,[ˈsnəʊman],n. 雪人,Unit6,
17,heavily,[ˈhevli],adv. 大量地；沉重地,Unit6,
18,snowy,[ˈsnəʊ],adj. 下雪的；雪白的,Unit6,
19,beach,,"沙滩排球,Unit6
20,volleyball,,,Unit6
21,high,[haɪ]""",adv. adj. 高,Unit6
22,freezing,[ˈfriːzŋ],adj. 极冷的；冰冷的,Unit6,
23,tourist,[ˈtɒərst],n. 旅行者；观光客,Unit6,
24,mount,[ˈmaʊnt],n. (在现代英语里仅用于地,Unit6,
1,upon,[əˈpɒn],prep. 在……上,Unit8,
2,once upon a time,,从前；很久以前,Unit8,
3,bite,[bɑːt],v. 咬；咬伤,Unit8,
4,bite through,,咬穿,Unit8,
5,net,[net],n. 网；网状物,Unit8,
6,hunter,[ˈhʌntə],n. 猎人；搜寻者,Unit8,
7,promise,[ˈprɒmɪs],v. 承诺；保证；n. 承诺；诺言,Unit8,
8,long ago,,很晚以前,Unit8,
9,war,[wɔː],n. 战争,Unit8,
10,neighbour,[neibə],n. 邻居,Unit8,
11,wise,[waɪz],adj. 明智的；高明的,Unit8,
12,emperor,[ˈempərə],n. 皇帝,Unit8,
13,lie,[la],v. 撒谎，n. 谎言,Unit8,
14,pretend,[prɪtend],v. 假装；伪装,Unit8,
15,official,[əˈfɪʃəl],n. 官员；高级职员,Unit8,
16,silly,[ˈsli],adj. 愚蠢的；傻的,Unit8,
17,decide,[dɪsaɪd],v. 决定,Unit8,
18,praise,[preɪz],n. 赞美；表扬,Unit8,
19,afraid,[əˈfrɛɪd],adj. 害怕的；担心的,Unit8,
20,suddenly,[ˈsʌdnl],adv. 突然地；出乎意料地,Unit8,
21,at first,,起初；最初,Unit8,
22,truth,[tru: 0 ],n. 真相；事实,Unit8,
23,tell the truth,,说实话,Unit8,
24,make money,,赚钱,Unit8,
25,TRUE,[tru:],adj. 符合事实的；真正的,Unit8,
26,hate,[heɪ],v. 不喜欢；厌恶；讨厌,Unit8,
27,get out,,逃脱；离开,Unit8,
28,king,[kʊ],n. 君主；国王,Unit8,
29,artist,[ˈɑːtkl],n. 美术家；艺术家,Unit8,
30,quickly,[ˈkwkl],adv. 快速地；很快,Unit8,
31,smile,[smai],v. 微笑，微笑；笑容,Unit8,
32,all over,,到处；遍及,Unit8,
33,ugly,[ˈʌɡl],adj. 丑陋的；难看的,Unit8,
34,duckling,[ˈdʌklŋ],n. 小鸭子,Unit8,
35,real,[ri:l][rəl],adj. 真的；真正的,Unit8,
36,laugh at,,嘲笑,Unit8,
37,go away,,走开,Unit8,
38,search for v.,,寻找；搜寻,Unit8,
39,hen,[hen],n. 母鸡,Unit8,
40,hopefully,[ˈhəʊpfəl],adv. 有希望地,Unit8,
41,purr,[pʌː],v.（在愉快时）发出呜呜声,Unit8,
42,lay,[le],v.（laid)下（蛋）；放置；搁,Unit8,
43,swan,[swɪn],n.天鹅,Unit8,
44,feather,[ˈfeðə],n.羽毛,Unit8,
45,to sb's surprise,,出乎某人的意料,Unit8,
46,size,[saɪz],n.大小；尺寸,Unit8,
47,come out,,出现；盛开,Unit8,
48,genie,[ˈdʒi:n],n.妖怪；鬼,Unit8,
49,die,[da],n.死亡；消失,Unit8,
50,make a promise,,许下诺言,Unit8,
51,someone,[ˈsʌmˌwʌn],pron.某人；有人,Unit8,
52,set,[set],v.使处于某种状态；使开始释放,Unit8,
53,set…free,,adj.富有的；富含……的,Unit8,
54,rich,[rtʃ],adj.强大的；有影响力的,Unit8,
55,powerful,[ˈpaʊəfəl],pron.任何人；某个人,Unit8,
56,anyone,[ˈen iːwʌn][ˈen nvən],,Unit8,
57,instead of,,而不是；代替,Unit8,
58,succeed in doing sth.,,成功做成某事,Unit8,
59,himself,[h mˈself],pron.他自己;他本人,Unit8,
60,in the end,,最后；终究,Unit8,
